Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,0.1,
C3,0603,1,0.1 uF,
"J1, J3",PinHeader_1x06_P2.54mm_Vertical,2,Conn_01x06,
"LED1, LED2",LED_choc_6028R-ROT,2,SK6812MINI-E,
U1,SOT-353_SC-70-5,1,74AHCT1G125,
U2,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,ATtiny1616-M,
U3,DHVQFN-16-1EP_2.5x3.5mm_P0.5mm_EP1x2mm,1,74HC165,
"VR1, VR2",Alps_EC10E,2,EC10E1220501,
