Designator,Mid X,Mid Y,Rotation,Layer
C1,154.0,-70.475,90.0,top
C2,157.0,-70.475,90.0,top
C3,154.0,-83.775,90.0,top
C4,157.0,-83.775,90.0,top
H1,104.0,-74.0,0.0,top
H2,176.0,-74.0,0.0,top
H3,104.0,-172.0,0.0,top
H4,176.0,-172.0,0.0,top
J7,140.0,-66.0,180.0,top
