Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",1206,2,10 uF,
"C2, C4",1206,2,1 uF,
"J1, J2, J3, J4, J5, J6",PinHeader_1x06_P2.54mm_Vertical,6,Conn_01x06,
J7,AMPHENOL_F3311A7H121024E200,1,F3311A7H121024E200,
