Designator,Mid X,Mid Y,Rotation,Layer
C1,138.5625,-45.279,90.0,bottom
C2,146.9525,-45.119,90.0,bottom
C3,116.9625,-42.994,90.0,bottom
H1,108.8625,-32.619,0.0,top
H2,170.8625,-32.619,0.0,top
H3,170.8625,-66.619,0.0,top
H4,108.8625,-66.619,0.0,top
LED1,125.5725,-44.799,180.0,bottom
LED2,154.1525,-44.799,180.0,bottom
LED3,154.1525,-63.849,180.0,bottom
LED4,125.5725,-63.849,180.0,bottom
SW1,125.575,-40.094,0.0,top
SW2,154.15,-40.094,0.0,top
SW3,125.575,-59.144,0.0,top
SW4,154.15,-59.144,0.0,top
U1,117.7775,-45.714,180.0,bottom
U2,138.3125,-49.630252,0.0,bottom
U3,147.205,-49.409,0.0,bottom
